ID,Midi Tracks Titles,Status,Sub Genre,Rename project,Cack Start Point (Project And Mp3),Presets In Folder,track titles,Mp3 In Folder,Export MIDI,Export XML,Stractur,Chord Progretion,Time Signature,BPM,הערות,Midi Tracks - Mp3 Exports,,שיטת הרמזור של מירי
16,Reggae #1 in Am,In Proses,Reggae,,,,,,,,V,V,,,פלאגינים לא טובים,https://drive.google.com/file/d/1WwlhC7V2KoWkCjpx-HkuvMse0ux72UJt/view?usp=drive_link,,
17,Rock - Pop #3 in Bb,Approved,Rock - Pop,V,V,V,V,V,V,V,V,V,4/4,146,,https://drive.google.com/file/d/1jE0_2AF6AQF04AoIP48zvdTFsyY0PuN1/view?usp=drive_link,,
18,Reggae 2 In Bm,Approved,Reggae,V,V,V,V,V,V,V,V,V,4/4,96,,https://drive.google.com/file/d/1ACk2Te5UCbwN9XFQ9f5nSDGaYY-Iohue/view?usp=drive_link,,סאונד מבעס
19,Teen Pop 1 In G,Approved,Teen Pop,V,V,V,V,V,V,V,V,V,4/4,132,,https://drive.google.com/file/d/17dYpxK1M9_OorvVKYuWyHXzNEPlV0FCX/view?usp=drive_link,,אין מספיק מידע לבוצ׳ר
20,Modren Country #2 in G,Approved,Modern Country,V,V,V,V,V,V,V,V,V,4/4,123,,https://drive.google.com/file/d/1b5c2bHBKhfpdKdDBSz2K_omi3JMbuayS/view?usp=drive_link,,נייס אולי קצת מיקס משו נשמע קצת מוזר
21,Classic Country #1 in G,Approved,Classic Country,V,V,V,V,V,V,V,V,V,4/4,105,,https://drive.google.com/file/d/1i8Hzpk5lDkEY6uhxr19y4uqLk16G3jcm/view?usp=drive_link,,
22,Country Rock #1 in Em,Approved,Country Rock,V,V,V,V,V,V,V,V,V,4/4,93,,https://drive.google.com/file/d/1odp2Uf968Uixgq9e-48ugYUD5LlUJ5tz/view?usp=drive_link,,
23,Teen Pop #2 In D,Approved,Teen Pop,V,V,V,V,V,V,V,V,V,4/4,97,,https://drive.google.com/file/d/196RCb2wiKfew-pTwDXwrB7dTffFZyzpP/view?usp=drive_link,,לשדרג את הביט
24,Modern Country #3 In D,Approved,Modern Country,V,V,V,V,V,V,V,V,V,4/4,73,,https://drive.google.com/drive/folders/1KDmjOAjiAoG26ZeaN-0PppbHQbvj0Ky-?usp=drive_link,,
25,Thrash Metal #1 in Em,Approved,Thrash Metal,V,V,V,V,V,V,V,V,V,4/4,170,,https://drive.google.com/file/d/1lTU7-8cMeS7J-Y1aOGfwa60xzpToDroK/view?usp=drive_link,,
26,Classic Pop #2 In Eb,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,75,,https://drive.google.com/file/d/120MMJUrjoUxWJIMQU2yASFrMclG5j3eL/view?usp=drive_link,,זה מעולה!! אבל לבוצ׳ר לא יהיה מה לעשות עם זה 
27,Teen Pop #3 In Am,Approved,Teen Pop,V,V,V,V,V,V,V,V,V,4/4,130,,https://drive.google.com/file/d/1WmKRVUO91lBLbNMJZsxmQPnNqe1E0dlZ/view?usp=drive_link,,לשדרג הפקה  וגם סאונדים 
28,Teen Pop #4 in Bb,Approved,Teen Pop,V,V,V,V,V,V,V,V,V,4/4,90,,https://drive.google.com/file/d/1UBzKf6btBGQc774cMvxXISuTnDTZgg7D/view?usp=drive_link,,סאונד קצת מבעס
29,Teen Pop #5 In E,Approved,Teen Pop,V,V,V,V,V,V,V,V,V,4/4,144,,https://drive.google.com/file/d/1VzxlM925m-AfITylNsYSIG8K0cssF9mL/view?usp=sharing,,
30,Modern Country #4 in C,Approved,Modern Country,V,V,V,V,V,V ,V,V,V,4/4,76,,https://drive.google.com/file/d/1lNsKuBF5gfM2mL5JJHFxMv8KFg7Bc1r-/view?usp=drive_link,,
31,Classic Country #2 in F,Approved,Classic Country,V,V,V,V,V,V,V,V,V,4/4,100,,https://drive.google.com/file/d/1WiOWOBvUF17R-82u0tgT8Kt_Z7fWXBGP/view?usp=drive_link,,אפשר להגדיל קצת פלייבק
32,Classic Country #3 in C,Approved,Classic Country,V,V,V,V,V,V,V,V,V,4/4,140,,https://drive.google.com/file/d/11srwmOw9pAvXJWQSQov2JQ0ys85v0gcJ/view?usp=drive_link,,
33,Country Rock #2 in Gm,Approved,Classic Country,V,V,V,V,V,V,V,V,V,4/4,85,,https://drive.google.com/file/d/1WiWWEd-tMsGJZ8khICmSdG_ggwXp7IJw/view?usp=drive_link,,הביט יכול ליהיות בסאונד יותר טוב
34,Modern Country #5 in C,Approved,Modern Country,V,V,V,V,V,V,V,V,V,4/4,98,,https://drive.google.com/file/d/1iZ8mIkEME7Wejsy1VWVv6sqERCVJBCAr/view?usp=drive_link,, 
35,Trap #1 in Em,Approved,Trap,V,V,V,V,V,V,V,V,V,4/4,140,,https://drive.google.com/file/d/1-oHCmtYnpk-DlbMcQDuQaEPyR2cOy-DQ/view?usp=drive_link,,מעולה!! אולילבוצ׳ר לא יהיה הרבה דברים לקחת מפה 
36,Classic Hip Hop #1 in Am,Approved,Classic Hip - Hop,V,V,V,V,V,V,V,V,V,4/4,93,,https://drive.google.com/file/d/1PJs6yKCGNFJZxGAcVExIQFyRjFF8ZZva/view?usp=drive_link ,,
37,Classic Hip Hop #2 in Em,Approved,Classic Hip - Hop,V,V,V,V,V,V,V,V,V,4/4,83,,https://drive.google.com/file/d/1o-I-M3m-Kr4ANHzEuXZdoO45BVun6DPP/view?usp=drive_link,,סאונדים לא משהו של הביט
38,Classic Hip Hop #3 in Dm,Approved,Classic Hip - Hop,V,V,V,V,V,V,V,V,V,4/4,130,,https://drive.google.com/file/d/1nweEB-q8lEjE5JzypJ5QPdGjYonqD7Ip/view?usp=drive_link,,פלייבק דל בתפקידים
39,Trap #2 in Cm,Approved,Trap,V,V,V,V,V,V,V,V,V,4/4,102,,https://drive.google.com/file/d/1qCKIMWB03ZHwUttZ2UvXEQ_VR7qGhxWM/view?usp=drive_link,,מעולה!! אולילבוצ׳ר לא יהיה הרבה דברים לקחת מפה 
40,Trap #3 In Dm,Approved,Trap,V,V,V,V,V,V,V,V,V,4/4,120,,https://drive.google.com/file/d/1PmVpt8Zj6EUHJbn4O0YuIOv5klqwGvD7/view?usp=drive_link,,מעולה!! אולילבוצ׳ר לא יהיה הרבה דברים לקחת מפה 
41,Synthwave #1 in Dm,Approved,Synthwave,V,V,V,V,V,V,V,V,V,4/4,160,,https://drive.google.com/file/d/1n4-UuG7L_gYP-OiriWqDnUW2e4d5y-fH/view?usp=drive_link,,
42,Synthwave #2 in Gm,Approved,Synthwave,V,V,V,V,V,V,V,V,V,4/4,140,,https://drive.google.com/file/d/1D4PR_sIIES1gAfaNuqQ_FwWIlY45rWvF/view?usp=drive_link,,
43,Synthwave  #3 in Bb,Approved,Synthwave,V,V,V,V,V,V,V,V,V,4/4,144,,https://drive.google.com/file/d/1g6t4mgT92nYd4DBPVg6snCnsOVg-YN_z/view?usp=drive_link,,
44,Reggaeton  #1 In Gm,Approved,Reggaeton,V,V,V,V,V,V,V,V,V,4/4,178,,https://drive.google.com/file/d/1a8aopb1wgO32XQ2XftH8Mn-pNiOk40IM/view?usp=drive_link,,
45,Reggaeton  #2 In Bbm,Approved,Reggaeton,V,V,V,V,V,V,V,V,V,4/4,95,,https://drive.google.com/file/d/1kqeEGxtrByuGoxCqIfSemJ9kKsdO_qoB/view?usp=drive_link,,
46,Reggaeton  #3 In Am,Approved,Reggaeton,V,V,V,V,V,V,V,V,V,4/4,93,,https://drive.google.com/file/d/1NgpWg4ftGLwMxvhU2KwOxyZ6aSE9IjnT/view?usp=drive_link,, 
47,Electro - Pop  #1 In G#m,Approved,Electro - pop,V,V,V,V,V,V,V,V,V,4/4,125,,https://drive.google.com/drive/folders/1w5onZ7VN1MRaB5C4hjNNkdQqfJnqj90X?usp=drive_link,,
48,Electro - Pop  #2 In Bm,Approved,Electro - pop,V,V,V,V,V,V,V,V,V,4/4,123,,https://drive.google.com/file/d/1krmf7UeFoQ7dBQebgW33Twbbd1M9juP6/view?usp=drive_link,,
49,Electro - Pop  #3 In F#,Approved,Electro - pop,V,V,V,V,V,V,V,V,V,4/4,125,,https://drive.google.com/file/d/1S53h6ddL0K--d4ODckBtIw0Pqk7ie6Yp/view?usp=drive_link,,
50,Old School Hip Hop #1 In C#m,Approved,Old school Hip - Hop,V,V,V,V,V,V,V,V,V,4/4,100,,https://drive.google.com/file/d/13Onh0bEradjJxbpigLONJVj_L8WK5Eam/view?usp=drive_link,,
51,Old School Hip Hop #2 In Am,Approved,Old school Hip - Hop,V,V,V,V,V,V,V,V,V,4/4,96,,https://drive.google.com/file/d/1xwj7cVq2Z5eV657miXOVWEYTgSnF5NGd/view?usp=drive_link,,
52,Old School Hip Hop #3 In Em,Approved,Old school Hip - Hop,V,V,V,V,V,V,V,V,V,4/4,94,,https://drive.google.com/file/d/1etSCA8vQGhhDhhJVmEUa_9VL6ZJC54i4/view?usp=drive_link,,
53,Pop R&B #1 in Dm,Approved,R&B Pop,V,V,V,V,V,V,V,V,V,4/4,104,,https://drive.google.com/file/d/17NdlL1bDJpd98b-_xx8g1siymMrOYbEK/view?usp=drive_link,,
54,Pop R&B #2 in F#m,Approved,R&B Pop,V,V,V,V,V,V,V,V,V,4/4,98,,https://drive.google.com/file/d/1gceQ04ePnZ6Fq8AoDtHlsQgJ7YIP1UfX/view?usp=drive_link,,
55,Pop R&B #3 in Fm,Approved,R&B Pop,V,V,V,V,V,V,V,V,V,4/4,152,,https://drive.google.com/file/d/1eU9t8upX7-KH33aahbzX62UZsG0Wldhg/view?usp=drive_link,,
56,Alternative Hip - Hop #1 in Dm,Approved,Alternative Hip - Hop,V,V,V,V,V,V,V,V,V,4/4,115,,https://drive.google.com/file/d/1AANCkpb0serCc2-CTt4cTkb9sK_8fp-J/view?usp=drive_link,,מעולה!! אולילבוצ׳ר לא יהיה הרבה דברים לקחת מפה 
57,Afrobeat #1 In F#m,Approved,Afrobeat,V,V,V,V,V,V,V,V,V,4/4,107,,https://drive.google.com/file/d/1fFTR62KWaFtK-Zf4ebLR21MQ1Kk4gATx/view?usp=drive_link,,
58,Afrobeat #2 In Cm,Approved,Afrobeat,V,V,V,V,V,V,V,V,V,4/4,96,,https://drive.google.com/file/d/1-csPpjQnwNQuS7eqLt8wMstK1RGxnzZp/view?usp=drive_link,,
59,Afrobeat #3 in Bbm,Approved,Afrobeat,V,V,V,V,V,V,V,V,V,4/4,97,,https://drive.google.com/file/d/1p1dDb3h3sM2vD0AAVS1JYAFyKe9wv2h2/view?usp=drive_link,,
60,Alternative Hip - Hop #2 in G#m,In Proses,Alternative Hip - Hop,,,,,,,,,,,,פרוייקט באבלטון צריך להעביר לקיובייס,https://drive.google.com/file/d/1AANCkpb0serCc2-CTt4cTkb9sK_8fp-J/view?usp=drive_link,,
61,K-Pop #1 in Ab,Approved,K-Pop,V,V,V,V,V,V,V,V,V,4/4,107,,https://drive.google.com/file/d/1m229ENUhztiGwmurrSX8Oyv8qmNG1eTY/view?usp=drive_link,,
62,Synthwave #4 In Bb,Approved,Synthwave,V,V,V,V,V,V,V,V,V,4/4,164,,https://drive.google.com/file/d/1T0xH_MfDddLM8XMySEaH3NcdbSXZHyyb/view?usp=drive_link,,
63,Synthwave #5 In Am,Approved,Synthwave,V,V,V,V,V,V,V,V,V,4/4,112,,https://drive.google.com/file/d/1Qmdejtg44wyWGIA4p-Y_6-gsku39gjuI/view?usp=drive_link,,
64,Synthwave #6 In A,Approved,Synthwave,V,V,V,V,V,V,V,V,V,4/4,114,,https://drive.google.com/file/d/15i7Es-dvY-vINMpBzI79K7Yds1MxoXrF/view?usp=drive_link,,  
65,K-Pop #2 in Gm,Approved,K-Pop,V,V,V,V,V,V,V,V,V,4/4,146,,https://drive.google.com/file/d/1yWpguj9zeDCKNs4Na7EXdZK92jQ_gmy8/view?usp=drive_link,,
66,K-Pop #3 in B,Approved,K-Pop,V,V,V,V,V,V,V,V,V,4/4,140,,https://drive.google.com/file/d/13XI9sh-DrRmQCs-w4iB7lMc9kcXxLW_m/view?usp=drive_link,,
67,Reggaeton #4 In B,Approved,Reggaeton,V,V,V,V,V,V,V,V,V,4/4,94,,https://drive.google.com/file/d/1iQp7jHkBn3TuQA6qkk_vaD_W82nHk1py/view?usp=drive_link,,
68,Reggaeton # 5 Ebm,Approved,Reggaeton,V,V,V,V,V,V,V,V,V,4/4,98,,https://drive.google.com/file/d/1K0Z-EBbG0YCRNSkQf0a4kWVOoBpUGwvz/view?usp=drive_link,,
69,Reggaeton # 6 Bb,Approved,Reggaeton,V,V,V,V,V,V,V,V,V,4/4,88,,https://drive.google.com/file/d/1AZNyumPILkF52Y-QVRl81YBzbmKEw5j-/view?usp=drive_link,,
70,K-Pop #4 in E,Approved,K-Pop,V,V,V,V,V,V,V,V,V,4/4,80,,https://drive.google.com/file/d/1UEK2GWF9udvRMCM1R93YsCZs5AA4byxX/view?usp=drive_link,,
71,-------------------,,,,,,,,,,,,,,,,,
72,Reggaeton #7 In G#m,Approved,Reggaeton,V,V,V,V,V,V,V,V,V,4/4,100,,https://drive.google.com/file/d/1t7msFKkmotcGMw8No5osfQj8Eq3u9KEl/view?usp=drive_link,,
73,Electro  - Pop # 4 in Dm,Approved,Electro - pop,V,V,V,V,V,V,V,V,V,4/4,126,,https://drive.google.com/file/d/1oW2AH-vMUoTBzoRpnEtyAlJPgXdUMkxm/view?usp=drive_link,,
74,Classic Hip Hop # 4 in Bm,In Proses,Classic Hip - Hop,,,,,,,,V,V,,,לסדקר פרויקט קיובייס,https://drive.google.com/file/d/1cmsy4T1W3D7jWOL4ic3UB4NqDMaBEW18/view?usp=drive_link,,
75,Modern R&B #1 in D,Approved,Modern R&B,V,V,V,V,V,V,V,V,V,4/4,118,,https://drive.google.com/file/d/1zFAiOWKnivvZemNUr7SIUnQW09fUIT8R/view?usp=drive_link,,
76,Pop R&B #4 in E,Approved,R&B Pop,V,V,V,V,V,V,V,V,V,4/4,110,,https://drive.google.com/file/d/1XNyOEDTP51XcI4QZDFeYUd7UFrIbRhg2/view?usp=drive_link,,
77,Modern R&B #2 in A,Not started,Modern R&B,V,V,V,V,V,V,V,V,V,4/4,117,יש שינוי סולם זה לא טוב לנו,https://drive.google.com/file/d/1oIwJIis5-w4h6HILDmXeoxLaeV9Wevn6/view?usp=drive_link,,
78,Classic Pop #3 in G,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,76,,https://drive.google.com/file/d/16XjPzV6B_TpyJffsEXSV7vA0NjHCo3z4/view?usp=drive_link,,
79,Classic Pop #4 in C,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,67,,https://drive.google.com/file/d/1BBnta_-88oBLs1DSZZ0UMZ8HgDHjsokI/view?usp=drive_link,,זה מעולה!! אבל לבוצ׳ר לא יהיה מה לעשות עם זה 
80,Alternative Pop #4 in F,Approved,Alternative Pop,V,V,V,V,V,V,V,V,V,4/4,73,,https://drive.google.com/file/d/1vPgT36qRpMkdeEDB516-pzaqw4rjewA9/view?usp=drive_link,,
81,Modern Country # 6 in D,Approved,Modern Country,V,V,V,V,V,V,V,V,V,4/4,75,,https://drive.google.com/file/d/1LXrfqsxYtwQ4q7JDPXVTlglQiWxzfK7p/view?usp=drive_link,,
82,Classic Pop # 5 in B,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,65,,https://drive.google.com/file/d/1SZLxg1klJR_mmgcQwPx22RXuBZd3yvmP/view?usp=drive_link,,
83,Classic Pop # 6 in Am,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,90,,https://drive.google.com/file/d/1hsLSHFip2cejZu9JpBBBRpqB3n6N3m7W/view?usp=drive_link,,זה מעולה!! אבל לבוצ׳ר לא יהיה מה לעשות עם זה 
84,Modern Country # 7 in E,Approved,Modern Country,V,V,V,V,V,V,V,V,V,4/4,69,,https://drive.google.com/file/d/1v8L55jpqfZNBeLNyLybQK6JsjSRlSctK/view?usp=drive_link,,
85,Classic Pop # 7 in D,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,70,,https://drive.google.com/file/d/1OCr3utSKYZ6aTpFVFJPQjleqMVmKocrM/view?usp=drive_link,,זה מעולה!! אבל לבוצ׳ר לא יהיה מה לעשות עם זה 
86,Classic Pop # 8 in Gm,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,76,,https://drive.google.com/file/d/1BszFOPZOLQBRvvy-QihqxYk5pIJ0pPl1/view?usp=drive_link,,
87,Reggae #3 In Fm,In Proses,Reggae,,,,,,,,,,,,אין לי פרוייקט,https://drive.google.com/file/d/1dUDa0PAVo83Frvmaibq2mh4wAzBjofhG/view?usp=drive_link,,
88,Modern Country #6 in G,In Proses,Modern Country,V,V,V,V,V,,,,,4/4,144,,https://drive.google.com/file/d/1xnaN2Vz6FYXK-npdU65lw93aMfeFV7z-/view?usp=drive_link,,
89,Modern Country #7 in Em,In Proses,Modern Country,V,V,V,V,V,,,,,4/4,106,,https://drive.google.com/file/d/1CSRBg5tSMNK99tyDft6v1hgY6a6zXeud/view?usp=drive_link,,
90,Reggae #4 in A,In Proses,Reggae,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,65,לבדוק פריסטים VSCO,https://drive.google.com/file/d/1qM4SFbA8UhsNykELLk9wgcbQB9MrwXue/view?usp=drive_link,,
91,Modern Country #8 in C#,In Proses,Modern Country,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,98,,https://drive.google.com/file/d/10chgqfajkX-W4CvGrf0iOACipjaVS6tO/view?usp=drivesdk,,
92,Modern Country #9 in A,In Proses,Modern Country,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,146,,https://drive.google.com/file/d/1K-zZiVL95cgivdg8vfOHKrOxCv7yDML6/view?usp=drive_link,,משהו נשמע קצת מבולגן
93,Alternative Pop #4 In G,Approved,Alternative Pop,V,V,V,V,V,V,V,V,V,4/4,130,,https://drive.google.com/file/d/1RvzDGy-BjshDDz_9S2yDIal4NSswgP9F/view?usp=drive_link,,טוב אבל אפשר לעשות תופים יותר טייט
94,Reggae #5 in Bm,In Proses,Reggae,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,83,לבדוק פריסטים VSCO,https://drive.google.com/file/d/1wZlM0ddxdd-M4ForJBwwnmVJVNbnx9UK/view?usp=drive_link,,
95,Country Rock #3 in F#m,In Proses,Country Rock,V,V,V,V,V,V,V,,,4/4,82,,https://drive.google.com/file/d/1G7knz2FDHrxCeS0Oe23K1q03JEmHFVDk/view?usp=drive_link,,
96,Rock-Pop #4 in G#m,In Proses,Rock - Pop,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,74,,https://drive.google.com/file/d/1IqOPZgKs4LufvuE4UpwUwsTjqWd5pMxe/view?usp=drive_link,,נייס אולי קצת מיקס משו נשמע קצת מוזר
97,Teen Pop #6 In Gm,In Proses,Teen Pop,V,V,V,,V,,,,,4/4,98,,https://drive.google.com/file/d/1Zh3azPCSHegWlCF0KMw5hGQaWjNB7O43/view?usp=drive_link,,
98,Rock-Pop #5 in G,In Proses,Rock - Pop,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,81,,https://drive.google.com/file/d/185OAn64i_KWK1YzLc3pk0Kcda0_imeKv/view?usp=drive_link,,
99,Modern Country #10 in A,In Proses,Modern Country,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,107,,https://drive.google.com/file/d/1b2XoyrUkEOF2xgYDrLO8MVVhsvNCVQ-w/view?usp=drive_link,,משהו נשמע קצת מבולגן
100,Modern Country #11 in G,In Proses,Modern Country,V,V,V,V,V,,,,,4/4,75,בעיה באקורדים,https://drive.google.com/file/d/1k3kClK7OPkydUtFRkHfEF_D24izqlMlB/view?usp=drive_link,,
101,Modern Country #12 in C,In Proses,Modern Country,V,V,V,V,V,,,,,4/4,153,בעיה באקורדים,https://drive.google.com/file/d/1gb3bYWLuk7EJLaEoMT-gfU8sqxS7EcV7/view?usp=drive_link,,
102,Hard Rock #4 in Eb,In Proses,Hard Rock,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,135,,https://drive.google.com/file/d/1y_C03lLL7PkUnxrn4srqxQq9eXwcSjRy/view?usp=drive_link,,
103,Modern Country #13 in B,In Proses,Modern Country,V,V,V,V,V,,,,,4/4,160,,https://drive.google.com/file/d/1U8UbvHxP3THYRia6EndgNN3DHFUS7YSB/view?usp=drivesdk,,משהו נשמע קצת מבולגן
104,Hard Rock #5 in A,In Proses,Hard Rock,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,96,,https://drive.google.com/file/d/1Gqg7XFdwbrYYbBc_d_lwDIPuzamx5eop/view?usp=drive_link,,סאונד קצת חלבי
105,Soft Classic Rock #1 in E,In Proses,Soft Classic Rock,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,69,,https://drive.google.com/file/d/16H-NYDZe5u7lGgmgrPCIcihgOyuB8hBM/view?usp=drive_link,,
106,Modern Country #14 in C,Approved,Modern Country,V,V,V,V,V,V,V,V,V,4/4,152,,https://drive.google.com/file/d/1jXpBsbOKroZdtHEol7a9K8h0He-nSurC/view?usp=drive_link,,
107,Country Rock #4 in Gm,In Proses,Country Rock,V,V,V,,V,V,V,,,4/4,101,,https://drive.google.com/file/d/1fw1b9mIDRkmIMj5IA7Fz-8eSIm15uh_V/view?usp=drive_link,,
108,Soft Classic Rock #2 in C,In Proses,Soft Classic Rock,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,132,,https://drive.google.com/file/d/1amRMLfJ_LhdAOvXUKpWlnTpRMqerPrqF/view?usp=drive_link,,סאונדים מקצת מוזרים
109,Classic Country #4 in E,In Proses,Classic Country,V,V,V,V,V,V,V,,,4/4,109,,https://drive.google.com/file/d/1g8HJkAjIKJgp9A7eihsndgsYTS4y5AN-/view?usp=drive_link,,
110,Soft Classic Rock #3 in Bm,In Proses,Soft Classic Rock,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,72,,https://drive.google.com/file/d/1i7P337ChYtkjE1aNP4JZNl6AVGv70BLP/view?usp=drive_link,,
111,Classic Country #5 in G,In Proses,Classic Country,V,V,V,V,V,V,V,,,4/4,83,,https://drive.google.com/file/d/1CEyB5q_zXa996v_3QZw1-q3jeDOt2QpL/view?usp=drive_link,,
112,Country Rock #5 in B,In Proses,Country Rock,V,V,V,,V,,,,,4/4,106,לבדוק פלאגין חדש עם רונן,https://drive.google.com/file/d/1TBKkQUDkVF5PStqdCqlVu1ZcLSfc9eI1/view?usp=drive_link,,
113,Teen Pop #7 In G,In Proses,Teen Pop,V,V,V,,V,V,V,,,4/4,181,,https://drive.google.com/file/d/1hwSB9Qx701sD41k0H84HqmHFEbssF_iK/view?usp=drive_link,,
114,Power Classic Rock #1 in D,In Proses,Power Classic Rock,V,V,V,V,V,V,V,V- In MIDI,V- In MIDI,4/4,111,,https://drive.google.com/file/d/1mIAmVP-dWbEBeGVK4VcdkcmgdUGA-lNV/view?usp=drive_link,,
115,Power Classic Rock #2 in Em,In Proses,Power Classic Rock,V,V,v,V,V,V,V,V- In MIDI,V- In MIDI,4/4,97,,https://drive.google.com/file/d/1XBSLVvXO3mhZ9_WKVpppFwHW9LHZs_9k/view?usp=drive_link,,קצת לא טייט
116,Alternative Hip Hop #3 in G#m,Not started,Alternative Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1JCo4p8JOGmHeCr4JXavtpNwZLRIVFcX7/view?usp=drive_link,,
117,Alternative Hip Hop #4 in Bbm,Not started,Alternative Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1L14M6gJQgUPN0xJjZEYT3E4Gmf0NAHNU/view?usp=drive_link,,
118,Alternative Hip Hop #5 In Eb,Not started,Alternative Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1vVIzxKtcy5PfVIcxfyqjh6isLf4sQ8hg/view?usp=drive_link,,
