output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,copy_original_drums_x,style_name,content_name,copy_original_drums_y,human_content_similarity,human_style_similarity,human_quality,comments,orig_csv_name,Unnamed: 4
Synthwave #2 in Gm.mapped.Pre_Chorus-Synthwave #2 in Gm.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.8585019697276701,0.9046384094536972,0.627844065335203,0.5045897921695109,,True,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,True,4.0,3.0,3.0,Not accurate,Temparature 0.01 Self_Blend (Mapped),
Synthwave #2 in Gm.mapped.Pre_Chorus-Synthwave #2 in Gm.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.8585019697276701,0.9046384094536972,0.627844065335203,0.5045897921695109,,True,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,False,5.0,4.0,4.0,Good,Temparature 0.1 Self_Blend (with varitented drum),
Alternative Hip Hop #2 in G#m.mapped.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3890104525089748,0.4151756879334481,0.0999176314663112,0.4212092612881681,,False,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,True,1.0,1.0,1.0,Not Music,Temparature 0.01 Self_Blend (Mapped),
Alternative Hip Hop #2 in G#m.mapped.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3890104525089748,0.4151756879334481,0.0999176314663112,0.4212092612881681,,False,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,False,5.0,5.0,4.0,Good,Temparature 0.1 Self_Blend (with varitented drum),
Alternative Hip Hop #2 in G#m.mapped.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3435717050042722,0.480254088134733,0.1440142136666846,0.9000494546254187,1.0,True,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,True,1.0,1.0,1.0,Not Music,Temparature 0.01 Self_Blend (Mapped),
Alternative Hip Hop #2 in G#m.mapped.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3435717050042722,0.480254088134733,0.1440142136666846,0.9000494546254187,1.0,True,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,False,5.0,5.0,4.0,Good,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #6 in A.mapped.Pre_Chorus-Synthwave #6 in A.mapped.Pre_Chorus.DV_T01.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.570854170997124,0.8743126973992622,0.6398576097998262,0.4433690506894447,0.0414157683281291,False,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,True,2.0,3.0,1.0,Terrible,Temparature 0.01 Self_Blend (Mapped),
Synthwave #6 in A.mapped.Pre_Chorus-Synthwave #6 in A.mapped.Pre_Chorus.DV_T01.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.570854170997124,0.8743126973992622,0.6398576097998262,0.4433690506894447,0.0414157683281291,False,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,False,5.0,4.0,4.0,Pretty Good,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #6 in A.mapped.Pre_Chorus-Synthwave #6 in A.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.5642241559619332,0.9262143378569496,0.7998472838163913,0.6548860700696475,1.0,True,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,True,2.0,3.0,1.0,Terrible,Temparature 0.01 Self_Blend (Mapped),
Synthwave #6 in A.mapped.Pre_Chorus-Synthwave #6 in A.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.5642241559619332,0.9262143378569496,0.7998472838163913,0.6548860700696475,1.0,True,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,False,5.0,4.0,4.0,Pretty Good,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #3 in Bb.mapped.Pre_Chorus-Synthwave #3 in Bb.mapped.Pre_Chorus.DV_T01.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.5018488031803828,0.1399741712398936,0.0,0.415139043612998,0.0,False,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,True,2.0,2.0,1.0,Playing the same note,Temparature 0.01 Self_Blend (Mapped),
Synthwave #3 in Bb.mapped.Pre_Chorus-Synthwave #3 in Bb.mapped.Pre_Chorus.DV_T01.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.5018488031803828,0.1399741712398936,0.0,0.415139043612998,0.0,False,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,False,5.0,5.0,5.0,Great !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #3 in Bb.mapped.Pre_Chorus-Synthwave #3 in Bb.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.9926895721601614,0.1504814749664534,,0.583459965991578,1.0,True,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,True,2.0,2.0,1.0,Playing the same note,Temparature 0.01 Self_Blend (Mapped),
Synthwave #3 in Bb.mapped.Pre_Chorus-Synthwave #3 in Bb.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.9926895721601614,0.1504814749664534,,0.583459965991578,1.0,True,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,False,5.0,5.0,5.0,Great !,Temparature 0.1 Self_Blend (with varitented drum),
Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus-Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.DV_T01.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.3727042433536769,0.4766753377844941,0.1650573025996844,0.4175779578105828,,False,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,True,1.0,1.0,1.0,Not Music,Temparature 0.01 Self_Blend (Mapped),
Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus-Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.DV_T01.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.3727042433536769,0.4766753377844941,0.1650573025996844,0.4175779578105828,,False,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,False,5.0,4.0,4.0,Good,Temparature 0.1 Self_Blend (with varitented drum),
Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus-Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.2972196148076584,0.4784974870473817,0.2166353344330841,0.9285714285714286,1.0,True,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,True,1.0,1.0,1.0,Not Music,Temparature 0.01 Self_Blend (Mapped),
Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus-Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.2972196148076584,0.4784974870473817,0.2166353344330841,0.9285714285714286,1.0,True,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,False,5.0,4.0,4.0,Good,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #5 in Am.mapped.Pre_Chorus-Synthwave #5 in Am.mapped.Pre_Chorus.DV_T01.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.7962284033701961,0.6804272686002861,0.0,0.6468853443815522,0.0,False,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,True,4.0,4.0,4.0,Good,Temparature 0.01 Self_Blend (Mapped),
Synthwave #5 in Am.mapped.Pre_Chorus-Synthwave #5 in Am.mapped.Pre_Chorus.DV_T01.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.7962284033701961,0.6804272686002861,0.0,0.6468853443815522,0.0,False,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,False,5.0,5.0,5.0,Great !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #5 in Am.mapped.Pre_Chorus-Synthwave #5 in Am.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.7848012984489758,0.7591033288181659,0.0455465926640443,0.6597094207669769,1.0,True,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,True,4.0,4.0,4.0,Good,Temparature 0.01 Self_Blend (Mapped),
Synthwave #5 in Am.mapped.Pre_Chorus-Synthwave #5 in Am.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.7848012984489758,0.7591033288181659,0.0455465926640443,0.6597094207669769,1.0,True,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,False,5.0,5.0,5.0,Great !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #3 in Bb.mapped.Chorus-Synthwave #3 in Bb.mapped.Chorus.DV_T01.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.8420783072638851,0.9130511580624492,0.7335942441674241,0.4455763617655999,0.0,False,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,True,,,,Only Drums cant tag it,Temparature 0.01 Self_Blend (Mapped),
Synthwave #3 in Bb.mapped.Chorus-Synthwave #3 in Bb.mapped.Chorus.DV_T01.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.8420783072638851,0.9130511580624492,0.7335942441674241,0.4455763617655999,0.0,False,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,False,,,,Only Drums can't tag it,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #3 in Bb.mapped.Chorus-Synthwave #3 in Bb.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.8303774470167518,0.9384561333950884,0.6969221591763294,0.2801273595699247,1.0,True,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,True,,,,Only Drums cant tag it,Temparature 0.01 Self_Blend (Mapped),
Synthwave #3 in Bb.mapped.Chorus-Synthwave #3 in Bb.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.8303774470167518,0.9384561333950884,0.6969221591763294,0.2801273595699247,1.0,True,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,False,,,,Only Drums can't tag it,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #5 in Am.mapped.Chorus-Synthwave #5 in Am.mapped.Chorus.DV_T01.mid,Synthwave #5 in Am.mapped.Chorus.mid,Synthwave #5 in Am.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.838180821407029,0.8532079120089517,0.7007719041107642,0.3896349692124593,0.3966562521077694,False,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,True,4.0,3.0,3.0,Not Good enough,Temparature 0.01 Self_Blend (Mapped),
Synthwave #5 in Am.mapped.Chorus-Synthwave #5 in Am.mapped.Chorus.DV_T01.mid,Synthwave #5 in Am.mapped.Chorus.mid,Synthwave #5 in Am.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.838180821407029,0.8532079120089517,0.7007719041107642,0.3896349692124593,0.3966562521077694,False,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,False,3.0,2.0,2.0,Boring and not convincing musically  !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #5 in Am.mapped.Chorus-Synthwave #5 in Am.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #5 in Am.mapped.Chorus.mid,Synthwave #5 in Am.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.9501863580067504,0.9928112799229036,0.8552854426662505,0.7598767061150848,1.0,True,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,True,4.0,3.0,3.0,Not Good enough,Temparature 0.01 Self_Blend (Mapped),
Synthwave #5 in Am.mapped.Chorus-Synthwave #5 in Am.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #5 in Am.mapped.Chorus.mid,Synthwave #5 in Am.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.9501863580067504,0.9928112799229036,0.8552854426662505,0.7598767061150848,1.0,True,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,False,3.0,2.0,2.0,Boring and not convincing musically  !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #3 in Bb.mapped.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T01.mid,Synthwave #3 in Bb.mapped.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7197104810250711,0.9093488077750403,0.914432838603234,0.3109742719881023,0.0,False,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,True,3.0,2.0,2.0,Not musical amd super repetitive,Temparature 0.01 Self_Blend (Mapped),
Synthwave #3 in Bb.mapped.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T01.mid,Synthwave #3 in Bb.mapped.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7197104810250711,0.9093488077750403,0.914432838603234,0.3109742719881023,0.0,False,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,False,5.0,3.0,3.0,Too reptitive and not very musical,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #3 in Bb.mapped.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.8887420145188051,0.9130530413639132,0.7940463816207163,0.3511855252704874,1.0,True,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,True,3.0,2.0,2.0,Not musical amd super repetitive,Temparature 0.01 Self_Blend (Mapped),
Synthwave #3 in Bb.mapped.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.8887420145188051,0.9130530413639132,0.7940463816207163,0.3511855252704874,1.0,True,Synthwave #3 in Bb.mapped,Synthwave #3 in Bb.mapped,False,5.0,3.0,3.0,Too reptitive and not very musical,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #5 in Am.mapped.Verse-Synthwave #5 in Am.mapped.Verse.DV_T01.mid,Synthwave #5 in Am.mapped.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.883484720023147,0.9352159345785036,0.9311145072677494,0.4490537687348095,0.211472883207241,False,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,True,2.0,2.0,2.0,Not Musical whatsoever,Temparature 0.01 Self_Blend (Mapped),
Synthwave #5 in Am.mapped.Verse-Synthwave #5 in Am.mapped.Verse.DV_T01.mid,Synthwave #5 in Am.mapped.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.883484720023147,0.9352159345785036,0.9311145072677494,0.4490537687348095,0.211472883207241,False,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,False,3.0,1.0,1.0,Repetitve not organic and sounds wierd,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #5 in Am.mapped.Verse-Synthwave #5 in Am.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #5 in Am.mapped.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.8829556723826006,0.9369178122490066,0.9557102331333248,0.911153594361666,1.0,True,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,True,2.0,2.0,2.0,Not Musical whatsoever,Temparature 0.01 Self_Blend (Mapped),
Synthwave #5 in Am.mapped.Verse-Synthwave #5 in Am.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #5 in Am.mapped.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.8829556723826006,0.9369178122490066,0.9557102331333248,0.911153594361666,1.0,True,Synthwave #5 in Am.mapped,Synthwave #5 in Am.mapped,False,3.0,1.0,1.0,Repetitve not organic and sounds wierd,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #2 in Gm.mapped.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T01.mid,Synthwave #2 in Gm.mapped.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.8097942993391637,0.862031758409125,0.4128805550016259,0.5894072047762181,0.0,False,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,True,2.0,1.0,1.0,Only Playing Piano,Temparature 0.01 Self_Blend (Mapped),
Synthwave #2 in Gm.mapped.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #2 in Gm.mapped.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7797005327809955,0.8552996572440168,0.4365372732056541,0.8224416837798024,1.0,True,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,True,2.0,1.0,1.0,Only Playing Piano,Temparature 0.01 Self_Blend (Mapped),
Synthwave #2 in Gm.mapped.Chorus-Synthwave #2 in Gm.mapped.Chorus.DV_T01.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.9114392083625998,0.8719753764050582,0.6313683059669715,0.5897957007101305,0.0,False,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,True,4.0,3.0,3.0,Not good enough,Temparature 0.01 Self_Blend (Mapped),
Synthwave #2 in Gm.mapped.Chorus-Synthwave #2 in Gm.mapped.Chorus.DV_T01.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.9114392083625998,0.8719753764050582,0.6313683059669715,0.5897957007101305,0.0,False,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,False,5.0,5.0,5.0,Great !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #2 in Gm.mapped.Chorus-Synthwave #2 in Gm.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.8783956491048529,0.91429017685509,0.7109835045167889,0.718593855885739,1.0,True,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,True,4.0,3.0,3.0,Not good enough,Temparature 0.01 Self_Blend (Mapped),
