output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,style_name,content_name,human_content_similarity,human_style_similarity,human_quality,comments,orig_csv_name
13 Alternative Pop #2 In C.PreChorus_no_drum.X.13 Alternative Pop #2 In C.PreChorus_no_drum.D_T001.mid,13 Alternative Pop #2 In C.PreChorus_no_drum.mid,13 Alternative Pop #2 In C.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8993978129057172,0.6532475930205996,0.8111071056538123,0.4025548832937721,,13 Alternative Pop #2 In C,13 Alternative Pop #2 In C,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
13 Alternative Pop #2 In C.Verse_no_drum.X.13 Alternative Pop #2 In C.Verse_no_drum.D_T001.mid,13 Alternative Pop #2 In C.Verse_no_drum.mid,13 Alternative Pop #2 In C.Verse_no_drum.mid,Verse,Drums,0.01,0.614096193007226,0.740453484926539,,0.3614486980061244,,13 Alternative Pop #2 In C,13 Alternative Pop #2 In C,3,5,4,Sounds good' butcher will fix the harmony mistakes,Temparature 0.01 Self_Blend (Rendering)
14 Alternative Pop #3 In F#m.Chorus_no_drum.X.14 Alternative Pop #3 In F#m.Chorus_no_drum.D_T001.mid,14 Alternative Pop #3 In F#m.Chorus_no_drum.mid,14 Alternative Pop #3 In F#m.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8667813851820789,0.8815698216491205,0.8591470748617546,0.9284766908852592,,14 Alternative Pop #3 In F#m,14 Alternative Pop #3 In F#m,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
14 Alternative Pop #3 In F#m.PreChorus_no_drum.X.14 Alternative Pop #3 In F#m.PreChorus_no_drum.D_T001.mid,14 Alternative Pop #3 In F#m.PreChorus_no_drum.mid,14 Alternative Pop #3 In F#m.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8334350660555239,0.5611320651044068,0.8861862597425678,0.886186259742568,,14 Alternative Pop #3 In F#m,14 Alternative Pop #3 In F#m,2,2,2,Sound awful - Mostly the Track's fault,Temparature 0.01 Self_Blend (Rendering)
14 Alternative Pop #3 In F#m.Verse_no_drum.X.14 Alternative Pop #3 In F#m.Verse_no_drum.D_T001.mid,14 Alternative Pop #3 In F#m.Verse_no_drum.mid,14 Alternative Pop #3 In F#m.Verse_no_drum.mid,Verse,Drums,0.01,0.7825389877162082,0.5659296417130251,1.0,1.0,,14 Alternative Pop #3 In F#m,14 Alternative Pop #3 In F#m,3,3,2,Sound awful - Mostly the Track's fault,Temparature 0.01 Self_Blend (Rendering)
15 Pop Punk #3 in Am.Chorus_no_drum.X.15 Pop Punk #3 in Am.Chorus_no_drum.D_T001.mid,15 Pop Punk #3 in Am.Chorus_no_drum.mid,15 Pop Punk #3 in Am.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9516639693137424,0.8888316146640273,0.5761480845122009,0.4411619524705583,,15 Pop Punk #3 in Am,15 Pop Punk #3 in Am,4,4,4,"Good Enough, butcher can fix the mistakes",Temparature 0.01 Self_Blend (Rendering)
15 Pop Punk #3 in Am.PreChorus_no_drum.X.15 Pop Punk #3 in Am.PreChorus_no_drum.D_T001.mid,15 Pop Punk #3 in Am.PreChorus_no_drum.mid,15 Pop Punk #3 in Am.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.7075209330576173,0.8336562640824071,0.3850267749693279,0.3573165255253849,,15 Pop Punk #3 in Am,15 Pop Punk #3 in Am,4,5,4,"Good Enough, butcher can fix the mistakes",Temparature 0.01 Self_Blend (Rendering)
15 Pop Punk #3 in Am.Verse_no_drum.X.15 Pop Punk #3 in Am.Verse_no_drum.D_T001.mid,15 Pop Punk #3 in Am.Verse_no_drum.mid,15 Pop Punk #3 in Am.Verse_no_drum.mid,Verse,Drums,0.01,0.8432980018188607,0.8205656281299576,0.4174980249890715,0.3683175108526442,,15 Pop Punk #3 in Am,15 Pop Punk #3 in Am,4,5,4,"Good Enough, butcher can fix the mistakes",Temparature 0.01 Self_Blend (Rendering)
18 Reggae 2 In Bm.Chorus_no_drum.X.18 Reggae 2 In Bm.Chorus_no_drum.D_T001.mid,18 Reggae 2 In Bm.Chorus_no_drum.mid,18 Reggae 2 In Bm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.7144868232549558,0.7362702056661682,0.911651680376155,,,18 Reggae 2 In Bm,18 Reggae 2 In Bm,4,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
18 Reggae 2 In Bm.PreChorus_no_drum.X.18 Reggae 2 In Bm.PreChorus_no_drum.D_T001.mid,18 Reggae 2 In Bm.PreChorus_no_drum.mid,18 Reggae 2 In Bm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9408056814582304,0.8836423846958363,0.8790953229099078,0.8492302708807148,,18 Reggae 2 In Bm,18 Reggae 2 In Bm,2,5,4,Tons of harmonic mistakes but the butcher will fix them,Temparature 0.01 Self_Blend (Rendering)
18 Reggae 2 In Bm.Verse_no_drum.X.18 Reggae 2 In Bm.Verse_no_drum.D_T001.mid,18 Reggae 2 In Bm.Verse_no_drum.mid,18 Reggae 2 In Bm.Verse_no_drum.mid,Verse,Drums,0.01,0.9075426279313502,0.8749137650752444,0.9164121430836216,,,18 Reggae 2 In Bm,18 Reggae 2 In Bm,4,5,4,Good Enough,Temparature 0.01 Self_Blend (Rendering)
19 Teen Pop 1 In G.Chorus_no_drum.X.19 Teen Pop 1 In G.Chorus_no_drum.D_T001.mid,19 Teen Pop 1 In G.Chorus_no_drum.mid,19 Teen Pop 1 In G.Chorus_no_drum.mid,Chorus,Drums,0.01,0.7745264950116505,0.8538175801105681,0.9944755003596784,0.9942049539281804,,19 Teen Pop 1 In G,19 Teen Pop 1 In G,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
19 Teen Pop 1 In G.PreChorus_no_drum.X.19 Teen Pop 1 In G.PreChorus_no_drum.D_T001.mid,19 Teen Pop 1 In G.PreChorus_no_drum.mid,19 Teen Pop 1 In G.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9956305374505908,0.9325569183696268,0.5103103630798288,0.8703882797784892,,19 Teen Pop 1 In G,19 Teen Pop 1 In G,4,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
19 Teen Pop 1 In G.Verse_no_drum.X.19 Teen Pop 1 In G.Verse_no_drum.D_T001.mid,19 Teen Pop 1 In G.Verse_no_drum.mid,19 Teen Pop 1 In G.Verse_no_drum.mid,Verse,Drums,0.01,0.8848528137423857,0.9410315807088968,1.0,1.0,,19 Teen Pop 1 In G,19 Teen Pop 1 In G,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
20 Modren Country #2 in G.Chorus_no_drum.X.20 Modren Country #2 in G.Chorus_no_drum.D_T001.mid,20 Modren Country #2 in G.Chorus_no_drum.mid,20 Modren Country #2 in G.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9229243888462688,0.7916523480854786,0.3478213656152852,0.645339116226471,,20 Modren Country #2 in G,20 Modren Country #2 in G,1,1,1,Awful ! does not sound like music !,Temparature 0.01 Self_Blend (Rendering)
20 Modren Country #2 in G.PreChorus_no_drum.X.20 Modren Country #2 in G.PreChorus_no_drum.D_T001.mid,20 Modren Country #2 in G.PreChorus_no_drum.mid,20 Modren Country #2 in G.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.889230188641597,0.6774429393024662,0.6554144762309536,0.4860384067217209,,20 Modren Country #2 in G,20 Modren Country #2 in G,2,3,1,Terrible all around,Temparature 0.01 Self_Blend (Rendering)
20 Modren Country #2 in G.Verse_no_drum.X.20 Modren Country #2 in G.Verse_no_drum.D_T001.mid,20 Modren Country #2 in G.Verse_no_drum.mid,20 Modren Country #2 in G.Verse_no_drum.mid,Verse,Drums,0.01,0.902610584412713,0.5861868011431978,0.16294106520118,0.2583523194745222,,20 Modren Country #2 in G,20 Modren Country #2 in G,4,1,1,Terrible all around,Temparature 0.01 Self_Blend (Rendering)
21 Classic Country #1 in G.Chorus_no_drum.X.21 Classic Country #1 in G.Chorus_no_drum.D_T001.mid,21 Classic Country #1 in G.Chorus_no_drum.mid,21 Classic Country #1 in G.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9555229888707318,0.9529796782228288,0.8596260850038233,0.5360779895893599,,21 Classic Country #1 in G,21 Classic Country #1 in G,1,1,1,Terrible all around,Temparature 0.01 Self_Blend (Rendering)
21 Classic Country #1 in G.PreChorus_no_drum.X.21 Classic Country #1 in G.PreChorus_no_drum.D_T001.mid,21 Classic Country #1 in G.PreChorus_no_drum.mid,21 Classic Country #1 in G.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9441658442932818,0.8259610214291384,0.6708256079890819,0.7118530029909144,,21 Classic Country #1 in G,21 Classic Country #1 in G,5,4,4,Good enough,Temparature 0.01 Self_Blend (Rendering)
21 Classic Country #1 in G.Verse_no_drum.X.21 Classic Country #1 in G.Verse_no_drum.D_T001.mid,21 Classic Country #1 in G.Verse_no_drum.mid,21 Classic Country #1 in G.Verse_no_drum.mid,Verse,Drums,0.01,0.902140400304165,0.94604371644651,0.6406662908144863,0.5236394853574645,,21 Classic Country #1 in G,21 Classic Country #1 in G,4,5,4,Good but we need to set the BPM straight in adavanced,Temparature 0.01 Self_Blend (Rendering)
22 Country Rock #1 in Em.Chorus_no_drum.X.22 Country Rock #1 in Em.Chorus_no_drum.D_T001.mid,22 Country Rock #1 in Em.Chorus_no_drum.mid,22 Country Rock #1 in Em.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8911180252639079,0.8743785193865622,0.5515738881301323,0.708336077344283,,22 Country Rock #1 in Em,22 Country Rock #1 in Em,1,1,1,Awful weird breaks and not musical,Temparature 0.01 Self_Blend (Rendering)
22 Country Rock #1 in Em.PreChorus_no_drum.X.22 Country Rock #1 in Em.PreChorus_no_drum.D_T001.mid,22 Country Rock #1 in Em.PreChorus_no_drum.mid,22 Country Rock #1 in Em.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9283118845377416,0.7282401840155516,0.243141403984576,0.4658167801558727,,22 Country Rock #1 in Em,22 Country Rock #1 in Em,5,4,3,Not Good enough all around,Temparature 0.01 Self_Blend (Rendering)
22 Country Rock #1 in Em.Verse_no_drum.X.22 Country Rock #1 in Em.Verse_no_drum.D_T001.mid,22 Country Rock #1 in Em.Verse_no_drum.mid,22 Country Rock #1 in Em.Verse_no_drum.mid,Verse,Drums,0.01,0.836655459542713,0.8282048192865282,0.6052696234403396,0.8511497658274231,,22 Country Rock #1 in Em,22 Country Rock #1 in Em,5,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
23 Teen Pop #2 In D.Chorus_no_drum.X.23 Teen Pop #2 In D.Chorus_no_drum.D_T001.mid,23 Teen Pop #2 In D.Chorus_no_drum.mid,23 Teen Pop #2 In D.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9620394669679646,0.7191708329714191,0.4530342835055341,0.7987211864929293,,23 Teen Pop #2 In D,23 Teen Pop #2 In D,4,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
23 Teen Pop #2 In D.PreChorus_no_drum.X.23 Teen Pop #2 In D.PreChorus_no_drum.D_T001.mid,23 Teen Pop #2 In D.PreChorus_no_drum.mid,23 Teen Pop #2 In D.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9194419286315224,0.7452258592213633,0.9843091327750996,0.9961164901835045,,23 Teen Pop #2 In D,23 Teen Pop #2 In D,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
23 Teen Pop #2 In D.Verse_no_drum.X.23 Teen Pop #2 In D.Verse_no_drum.D_T001.mid,23 Teen Pop #2 In D.Verse_no_drum.mid,23 Teen Pop #2 In D.Verse_no_drum.mid,Verse,Drums,0.01,0.8265964861057046,0.7334043959945638,0.8230903503327818,0.9803902531868056,,23 Teen Pop #2 In D,23 Teen Pop #2 In D,3,4,4,Good Enough,Temparature 0.01 Self_Blend (Rendering)
24 Modern Country #3 In D.Chorus_no_drum.X.24 Modern Country #3 In D.Chorus_no_drum.D_T001.mid,24 Modern Country #3 In D.Chorus_no_drum.mid,24 Modern Country #3 In D.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8396153156092869,0.942966563724424,0.8696573075519978,0.7410475480923568,,24 Modern Country #3 In D,24 Modern Country #3 In D,1,1,1,Terrible all around,Temparature 0.01 Self_Blend (Rendering)
24 Modern Country #3 In D.PreChorus_no_drum.X.24 Modern Country #3 In D.PreChorus_no_drum.D_T001.mid,24 Modern Country #3 In D.PreChorus_no_drum.mid,24 Modern Country #3 In D.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9358355441367112,0.8012363659343227,0.8645695578773939,0.7528952369250619,,24 Modern Country #3 In D,24 Modern Country #3 In D,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
24 Modern Country #3 In D.Verse_no_drum.X.24 Modern Country #3 In D.Verse_no_drum.D_T001.mid,24 Modern Country #3 In D.Verse_no_drum.mid,24 Modern Country #3 In D.Verse_no_drum.mid,Verse,Drums,0.01,0.9176008849075582,0.6152153619906972,0.3453545668964979,0.6001200273327254,,24 Modern Country #3 In D,24 Modern Country #3 In D,2,1,1,Terrible all around,Temparature 0.01 Self_Blend (Rendering)
25 Thrash Metal #1 in Em.Chorus_no_drum.X.25 Thrash Metal #1 in Em.Chorus_no_drum.D_T001.mid,25 Thrash Metal #1 in Em.Chorus_no_drum.mid,25 Thrash Metal #1 in Em.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8339458998137568,0.8554241505124873,0.8188561710562365,0.5703371120767612,,25 Thrash Metal #1 in Em,25 Thrash Metal #1 in Em,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
25 Thrash Metal #1 in Em.PreChorus_no_drum.X.25 Thrash Metal #1 in Em.PreChorus_no_drum.D_T001.mid,25 Thrash Metal #1 in Em.PreChorus_no_drum.mid,25 Thrash Metal #1 in Em.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.7932790591028398,0.7302747152413902,0.4776998270165851,0.6239877757598455,,25 Thrash Metal #1 in Em,25 Thrash Metal #1 in Em,4,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
25 Thrash Metal #1 in Em.Verse_no_drum.X.25 Thrash Metal #1 in Em.Verse_no_drum.D_T001.mid,25 Thrash Metal #1 in Em.Verse_no_drum.mid,25 Thrash Metal #1 in Em.Verse_no_drum.mid,Verse,Drums,0.01,0.9286450793744916,0.967159218959965,0.8337236320638869,0.5842297060718065,,25 Thrash Metal #1 in Em,25 Thrash Metal #1 in Em,3,4,3,Not Good enough all around,Temparature 0.01 Self_Blend (Rendering)
26 Classic Pop #2 In Eb.Chorus_no_drum.X.26 Classic Pop #2 In Eb.Chorus_no_drum.D_T001.mid,26 Classic Pop #2 In Eb.Chorus_no_drum.mid,26 Classic Pop #2 In Eb.Chorus_no_drum.mid,Chorus,Drums,0.01,0.7865047990196086,0.8986546553209394,0.5969895682772346,0.4934428141750632,,26 Classic Pop #2 In Eb,26 Classic Pop #2 In Eb,4,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
26 Classic Pop #2 In Eb.PreChorus_no_drum.X.26 Classic Pop #2 In Eb.PreChorus_no_drum.D_T001.mid,26 Classic Pop #2 In Eb.PreChorus_no_drum.mid,26 Classic Pop #2 In Eb.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9173106587064084,0.6875948519863867,0.2900443296150223,0.5446001588294846,,26 Classic Pop #2 In Eb,26 Classic Pop #2 In Eb,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
26 Classic Pop #2 In Eb.Verse_no_drum.X.26 Classic Pop #2 In Eb.Verse_no_drum.D_T001.mid,26 Classic Pop #2 In Eb.Verse_no_drum.mid,26 Classic Pop #2 In Eb.Verse_no_drum.mid,Verse,Drums,0.01,0.9134666276280632,0.8133382664226328,0.0407266094560968,0.6863678919324933,,26 Classic Pop #2 In Eb,26 Classic Pop #2 In Eb,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
27 Teen Pop #3 In Am.Chorus_no_drum.X.27 Teen Pop #3 In Am.Chorus_no_drum.D_T001.mid,27 Teen Pop #3 In Am.Chorus_no_drum.mid,27 Teen Pop #3 In Am.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8286804255632253,0.7902678046299785,0.5051129798538928,0.8530128258867848,,27 Teen Pop #3 In Am,27 Teen Pop #3 In Am,4,4,4,Good enough although not very musical,Temparature 0.01 Self_Blend (Rendering)
27 Teen Pop #3 In Am.PreChorus_no_drum.X.27 Teen Pop #3 In Am.PreChorus_no_drum.D_T001.mid,27 Teen Pop #3 In Am.PreChorus_no_drum.mid,27 Teen Pop #3 In Am.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.7315730860426574,0.7804171085743324,0.7578314676980736,0.8301598505816744,,27 Teen Pop #3 In Am,27 Teen Pop #3 In Am,4,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
27 Teen Pop #3 In Am.Verse_no_drum.X.27 Teen Pop #3 In Am.Verse_no_drum.D_T001.mid,27 Teen Pop #3 In Am.Verse_no_drum.mid,27 Teen Pop #3 In Am.Verse_no_drum.mid,Verse,Drums,0.01,0.9122511755971902,0.925887885819622,0.87569063282243,0.8505560816451332,,27 Teen Pop #3 In Am,27 Teen Pop #3 In Am,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
28 Teen Pop #4 in Bb.Chorus_no_drum.X.28 Teen Pop #4 in Bb.Chorus_no_drum.D_T001.mid,28 Teen Pop #4 in Bb.Chorus_no_drum.mid,28 Teen Pop #4 in Bb.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8762669563781849,0.8899084412504048,0.8999147657983082,0.6372116189642143,,28 Teen Pop #4 in Bb,28 Teen Pop #4 in Bb,4,2,2,Rhythm is completely off,Temparature 0.01 Self_Blend (Rendering)
28 Teen Pop #4 in Bb.PreChorus_no_drum.X.28 Teen Pop #4 in Bb.PreChorus_no_drum.D_T001.mid,28 Teen Pop #4 in Bb.PreChorus_no_drum.mid,28 Teen Pop #4 in Bb.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.731396036413332,0.9069313029853752,0.9741323191314888,0.6584880844609484,,28 Teen Pop #4 in Bb,28 Teen Pop #4 in Bb,3,4,3,Too similar and too boring,Temparature 0.01 Self_Blend (Rendering)
28 Teen Pop #4 in Bb.Verse_no_drum.X.28 Teen Pop #4 in Bb.Verse_no_drum.D_T001.mid,28 Teen Pop #4 in Bb.Verse_no_drum.mid,28 Teen Pop #4 in Bb.Verse_no_drum.mid,Verse,Drums,0.01,0.6055795026325688,0.915876460031664,0.9858619802694584,0.6840880682693675,,28 Teen Pop #4 in Bb,28 Teen Pop #4 in Bb,3,4,4,Good enough the butcher can fix harmony mistakes,Temparature 0.01 Self_Blend (Rendering)
29 Teen Pop #5 In E.Chorus_no_drum.X.29 Teen Pop #5 In E.Chorus_no_drum.D_T001.mid,29 Teen Pop #5 In E.Chorus_no_drum.mid,29 Teen Pop #5 In E.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8717316890996639,0.7281046734825258,0.7833312458938688,0.5353033790313106,,29 Teen Pop #5 In E,29 Teen Pop #5 In E,2,5,4,Good enough the butcher can fix harmony mistakes,Temparature 0.01 Self_Blend (Rendering)
29 Teen Pop #5 In E.PreChorus_no_drum.X.29 Teen Pop #5 In E.PreChorus_no_drum.D_T001.mid,29 Teen Pop #5 In E.PreChorus_no_drum.mid,29 Teen Pop #5 In E.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.5646469018518877,0.6719082413958264,0.6906537778402941,0.9921208582971904,,29 Teen Pop #5 In E,29 Teen Pop #5 In E,2,5,4,Good enough the butcher can fix harmony mistakes,Temparature 0.01 Self_Blend (Rendering)
29 Teen Pop #5 In E.Verse_no_drum.X.29 Teen Pop #5 In E.Verse_no_drum.D_T001.mid,29 Teen Pop #5 In E.Verse_no_drum.mid,29 Teen Pop #5 In E.Verse_no_drum.mid,Verse,Drums,0.01,0.4685879298623406,0.6897745437509987,0.8346012588972833,0.9792631097453748,,29 Teen Pop #5 In E,29 Teen Pop #5 In E,2,5,4,Good enough the butcher can fix harmony mistakes,Temparature 0.01 Self_Blend (Rendering)
30 Modern Country #4 in C.Chorus_no_drum.X.30 Modern Country #4 in C.Chorus_no_drum.D_T001.mid,30 Modern Country #4 in C.Chorus_no_drum.mid,30 Modern Country #4 in C.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9593609458597232,0.9584347913271654,0.5800829092155235,0.506202814501576,,30 Modern Country #4 in C,30 Modern Country #4 in C,4,3,4,Drums are really off after the changes of grv2grv not too tight but good enough,Temparature 0.01 Self_Blend (Rendering)
30 Modern Country #4 in C.PreChorus_no_drum.X.30 Modern Country #4 in C.PreChorus_no_drum.D_T001.mid,30 Modern Country #4 in C.PreChorus_no_drum.mid,30 Modern Country #4 in C.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8909241973674956,0.8742525422960783,0.502723015595259,0.5114738920618724,,30 Modern Country #4 in C,30 Modern Country #4 in C,2,3,2,Not Good enough all around' harmony is off and not musical at all,Temparature 0.01 Self_Blend (Rendering)
30 Modern Country #4 in C.Verse_no_drum.X.30 Modern Country #4 in C.Verse_no_drum.D_T001.mid,30 Modern Country #4 in C.Verse_no_drum.mid,30 Modern Country #4 in C.Verse_no_drum.mid,Verse,Drums,0.01,0.8398296293220642,0.8954570145428542,0.692909617283175,0.5587747499650223,,30 Modern Country #4 in C,30 Modern Country #4 in C,3,4,3,Almost good enough but the sound is awful,Temparature 0.01 Self_Blend (Rendering)
31 Classic Country #2 in F.Chorus_no_drum.X.31 Classic Country #2 in F.Chorus_no_drum.D_T001.mid,31 Classic Country #2 in F.Chorus_no_drum.mid,31 Classic Country #2 in F.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9425352752855604,0.9399934707510418,0.6749041284095969,0.7217985249500336,,31 Classic Country #2 in F,31 Classic Country #2 in F,4,4,4,Good Enough,Temparature 0.01 Self_Blend (Rendering)
31 Classic Country #2 in F.PreChorus_no_drum.X.31 Classic Country #2 in F.PreChorus_no_drum.D_T001.mid,31 Classic Country #2 in F.PreChorus_no_drum.mid,31 Classic Country #2 in F.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9330753244986868,0.9168100443488878,0.8922195858146843,0.7104176253527454,,31 Classic Country #2 in F,31 Classic Country #2 in F,4,4,4,Good Enough,Temparature 0.01 Self_Blend (Rendering)
31 Classic Country #2 in F.Verse_no_drum.X.31 Classic Country #2 in F.Verse_no_drum.D_T001.mid,31 Classic Country #2 in F.Verse_no_drum.mid,31 Classic Country #2 in F.Verse_no_drum.mid,Verse,Drums,0.01,0.8635391562760872,0.8695062328898581,0.9659207304405596,0.8908573186523777,,31 Classic Country #2 in F,31 Classic Country #2 in F,4,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
